WEEK_START,WAU
2024-12-30 00:00:00.000,127
2025-01-06 00:00:00.000,331
2025-01-13 00:00:00.000,546
2025-01-20 00:00:00.000,795
2025-01-27 00:00:00.000,945
2025-02-03 00:00:00.000,958
2025-02-10 00:00:00.000,955
2025-02-17 00:00:00.000,955
2025-02-24 00:00:00.000,953
2025-03-03 00:00:00.000,949
2025-03-10 00:00:00.000,956
2025-03-17 00:00:00.000,960
2025-03-24 00:00:00.000,961
2025-03-31 00:00:00.000,957
2025-04-07 00:00:00.000,957
2025-04-14 00:00:00.000,969
2025-04-21 00:00:00.000,948
2025-04-28 00:00:00.000,954
2025-05-05 00:00:00.000,768
2025-05-12 00:00:00.000,549
2025-05-19 00:00:00.000,328
2025-05-26 00:00:00.000,94
