WEEK_START,PAID_USERS,ACTIVE_USERS,CONVERSION_RATE
2024-12-30 00:00:00.000,0,127,0.000000
2025-01-06 00:00:00.000,6,331,0.018127
2025-01-13 00:00:00.000,11,546,0.020147
2025-01-20 00:00:00.000,11,795,0.013836
2025-01-27 00:00:00.000,20,945,0.021164
2025-02-03 00:00:00.000,26,958,0.027140
2025-02-10 00:00:00.000,27,955,0.028272
2025-02-17 00:00:00.000,45,955,0.047120
2025-02-24 00:00:00.000,34,953,0.035677
2025-03-03 00:00:00.000,39,949,0.041096
2025-03-10 00:00:00.000,30,956,0.031381
2025-03-17 00:00:00.000,36,960,0.037500
2025-03-24 00:00:00.000,17,961,0.017690
2025-03-31 00:00:00.000,16,957,0.016719
2025-04-07 00:00:00.000,13,957,0.013584
2025-04-14 00:00:00.000,7,969,0.007224
2025-04-21 00:00:00.000,4,948,0.004219
2025-04-28 00:00:00.000,0,954,0.000000
2025-05-05 00:00:00.000,0,768,0.000000
2025-05-12 00:00:00.000,0,549,0.000000
2025-05-19 00:00:00.000,0,328,0.000000
2025-05-26 00:00:00.000,0,94,0.000000
