USER_ID,INSIGHT_VIEWS,USER_TYPE
5,25,Free
16,23,Free
31,47,Free
40,30,Free
64,26,Free
65,28,Paid
68,51,Free
79,28,Free
100,23,Free
106,38,Free
130,61,Free
133,29,Free
141,91,Free
150,22,Free
164,43,Paid
166,60,Free
169,25,Paid
175,61,Free
187,53,Paid
190,25,Free
202,27,Free
206,22,Free
212,59,Paid
229,85,Free
233,68,Free
237,35,Paid
240,27,Free
261,55,Free
272,43,Free
283,30,Free
290,65,Free
304,57,Paid
309,58,Paid
314,76,Paid
317,27,Free
324,25,Free
326,51,Free
327,60,Free
328,52,Paid
329,33,Free
340,20,Free
343,27,Free
352,76,Free
364,50,Free
369,17,Free
375,30,Free
378,26,Free
379,51,Free
390,58,Free
392,33,Paid
393,24,Free
398,29,Free
400,42,Free
410,21,Free
413,68,Paid
416,23,Free
422,45,Free
427,21,Free
445,49,Free
455,31,Free
457,33,Free
458,25,Free
462,50,Paid
466,25,Free
473,24,Free
475,51,Paid
500,86,Paid
529,29,Free
555,78,Free
562,27,Free
565,27,Free
566,62,Free
581,19,Free
583,25,Free
584,40,Free
586,23,Free
588,20,Free
600,26,Free
608,30,Free
617,31,Free
622,37,Free
627,27,Free
628,42,Paid
644,36,Free
648,54,Free
649,55,Free
656,23,Free
662,77,Paid
679,76,Paid
687,45,Paid
694,22,Free
695,44,Free
706,83,Paid
710,48,Free
721,75,Paid
723,27,Free
729,22,Free
732,57,Free
737,33,Free
746,83,Free
750,51,Free
774,35,Free
776,28,Free
788,21,Free
807,90,Free
827,16,Free
836,13,Free
843,29,Free
848,87,Free
852,59,Paid
853,18,Free
856,39,Free
888,27,Free
905,22,Free
909,24,Free
926,29,Free
927,22,Free
932,75,Free
962,58,Free
963,30,Free
973,60,Free
985,54,Free
992,66,Free
1000,35,Free
7,45,Free
10,49,Free
25,24,Free
29,58,Free
34,90,Paid
39,60,Free
49,45,Paid
67,27,Free
72,26,Free
73,29,Free
75,46,Free
76,62,Free
69,28,Free
84,22,Free
90,24,Free
93,62,Free
94,66,Free
95,50,Free
97,70,Free
108,64,Free
147,57,Free
155,77,Paid
167,31,Free
170,51,Free
173,49,Free
178,22,Free
181,21,Free
182,29,Free
183,77,Free
209,22,Free
211,45,Free
219,48,Paid
224,28,Paid
227,73,Paid
231,52,Free
236,56,Free
255,28,Free
260,37,Free
269,33,Free
270,20,Free
273,80,Free
277,53,Free
286,20,Free
293,54,Free
300,15,Free
313,30,Free
319,22,Free
351,50,Free
353,56,Free
357,27,Free
377,58,Free
385,61,Free
399,53,Free
401,28,Free
411,29,Paid
414,53,Paid
425,30,Free
434,17,Free
443,27,Free
446,80,Paid
463,45,Free
464,43,Paid
468,82,Paid
470,82,Free
503,24,Free
508,52,Paid
510,62,Paid
512,25,Free
514,73,Paid
518,59,Free
528,32,Free
542,58,Free
550,44,Free
552,71,Free
556,27,Free
571,57,Free
580,30,Free
594,25,Free
604,23,Free
609,63,Free
611,20,Free
619,59,Paid
621,16,Free
623,34,Free
631,64,Free
637,56,Free
647,55,Paid
652,51,Free
654,51,Free
642,25,Paid
666,30,Free
668,31,Paid
670,32,Free
690,26,Free
696,43,Paid
698,53,Free
730,34,Free
735,22,Free
743,63,Free
745,22,Paid
749,81,Paid
753,47,Free
762,21,Free
764,53,Free
765,22,Paid
769,29,Free
783,24,Free
784,24,Free
