feature_event_id,user_id,feature_name,usage_timestamp,usage_duration,feature_version
1,1,premium_deep_insight,2025-01-10 08:22:00,26,v2
2,1,recovery_report,2025-01-10 08:20:00,114,v1
3,1,recovery_report,2025-01-15 02:18:00,141,v1
4,1,activity_trend,2025-01-26 03:09:00,257,v1
5,1,readiness_insight,2025-01-26 03:03:00,249,v1
6,1,readiness_insight,2025-02-08 22:28:00,229,v1
7,1,premium_deep_insight,2025-02-08 22:18:00,191,v2
8,1,sleep_analysis,2025-02-13 06:31:00,23,v1
9,1,activity_trend,2025-02-13 06:23:00,162,v2
10,1,activity_trend,2025-02-26 17:23:00,247,v2
11,1,premium_deep_insight,2025-02-26 17:18:00,125,v2
12,1,sleep_analysis,2025-02-26 14:13:00,175,v1
13,1,activity_trend,2025-02-26 14:11:00,144,v1
14,1,recovery_report,2025-03-30 21:40:00,233,v2
15,1,recovery_report,2025-03-30 21:34:00,73,v1
16,1,readiness_insight,2025-04-02 08:08:00,54,v1
17,1,recovery_report,2025-04-22 11:07:00,256,v2
18,1,activity_trend,2025-04-22 11:09:00,277,v1
19,1,readiness_insight,2025-05-03 11:24:00,83,v1
20,1,activity_trend,2025-05-03 11:28:00,48,v2
21,2,activity_trend,2025-01-17 02:50:00,277,v2
22,2,sleep_analysis,2025-01-17 02:59:00,95,v2
23,2,readiness_insight,2025-01-19 22:51:00,38,v1
24,2,activity_trend,2025-01-19 22:42:00,34,v1
25,2,readiness_insight,2025-01-19 02:28:00,79,v2
26,2,recovery_report,2025-01-19 02:27:00,246,v1
27,2,sleep_analysis,2025-01-20 11:00:00,27,v1
28,2,recovery_report,2025-01-20 14:00:00,54,v2
29,2,recovery_report,2025-01-20 13:57:00,161,v2
30,2,premium_deep_insight,2025-01-21 14:56:00,158,v1
31,2,premium_deep_insight,2025-01-21 14:54:00,141,v2
32,2,sleep_analysis,2025-01-22 23:15:00,130,v2
33,2,readiness_insight,2025-01-22 23:16:00,188,v2
34,2,readiness_insight,2025-01-24 12:39:00,120,v1
