metric_id,user_id,metric_date,sleep_score,activity_score,readiness_score
1,1,2025-01-06,42.85,92.35,70.53
2,1,2025-01-09,62.31,63.04,71.2
3,1,2025-01-10,68.71,75.76,85.34
4,1,2025-01-13,66.81,64.97,70.56
5,1,2025-01-15,73.01,73.71,69.96
6,1,2025-01-16,56.66,79.33,62.63
7,1,2025-01-17,57.32,60.43,65.45
8,1,2025-01-19,63.75,68.52,74.78
9,1,2025-01-21,45.49,65.71,44.73
10,1,2025-01-23,66.1,57.7,57.99
11,1,2025-01-26,77.3,63.2,62.73
12,1,2025-01-27,59.56,40.86,66.88
13,1,2025-01-28,58.77,56.11,54.93
14,1,2025-01-29,49.43,53.13,76.76
15,1,2025-02-01,56.72,85.62,69.57
16,1,2025-02-02,76.46,49.87,62.23
17,1,2025-02-05,90.97,62.84,56.84
18,1,2025-02-06,65.84,66.54,79.85
19,1,2025-02-07,87.29,69.17,71.01
20,1,2025-02-08,92.31,42.27,70.46
21,1,2025-02-09,64.43,46.69,45.97
22,1,2025-02-10,62.4,75.07,58.46
23,1,2025-02-13,70.06,53.88,56.47
24,1,2025-02-14,58.8,98.38,49.64
25,1,2025-02-15,71.72,68.18,65.91
26,1,2025-02-17,44.05,77.07,58.47
27,1,2025-02-19,50.35,48.47,48.72
28,1,2025-02-20,60.88,54.39,60.57
29,1,2025-02-22,72.74,63.34,47.65
30,1,2025-02-23,73.25,34.43,60.15
31,1,2025-02-24,73.54,49.58,78.79
32,1,2025-02-25,51.11,73.79,70.3
33,1,2025-02-26,65.68,78.59,55.14
34,1,2025-02-28,55.63,56.73,71.07
35,1,2025-03-01,69.67,59.99,72.7
36,1,2025-03-05,74.27,50.75,65.49
37,1,2025-03-06,59.83,54.14,59.97
38,1,2025-03-08,65.1,65.21,69.19
39,1,2025-03-10,65.96,70.39,37.24
40,1,2025-03-11,70.19,41.87,65.48
41,1,2025-03-13,67.44,67.08,65.74
42,1,2025-03-14,39.85,62.72,71.19
43,1,2025-03-15,56.97,51.58,64.69
44,1,2025-03-16,75.7,44.07,51.5
45,1,2025-03-17,53.27,44.69,45.76
46,1,2025-03-19,59.64,88.75,51.51
47,1,2025-03-20,64.62,70.6,57.11
48,1,2025-03-21,52.83,50.38,60.71
49,1,2025-03-23,51.87,66.65,55.9
50,1,2025-03-25,52.61,60.75,90.17
51,1,2025-03-26,64.89,76.34,66.32
52,1,2025-03-27,74.41,70.12,81.28
53,1,2025-03-29,66.75,80.5,37.5
54,1,2025-03-30,81.44,63.09,62.16
55,1,2025-03-31,81.36,72.94,53.02
56,1,2025-04-02,71.03,33.89,69.9
57,1,2025-04-03,46.17,48.98,60.71
58,1,2025-04-04,54.56,32.29,71.3
59,1,2025-04-06,59.26,36.48,60.93
60,1,2025-04-07,68.02,52.95,53.54
61,1,2025-04-08,60.25,87.2,44.91
62,1,2025-04-10,47.09,51.18,69.64
63,1,2025-04-11,71.98,73.99,50.22
64,1,2025-04-13,69.3,59.85,97.49
65,1,2025-04-14,48.93,64.37,46.26
66,1,2025-04-16,50.62,44.55,60.37
67,1,2025-04-17,74.19,55.56,50.24
68,1,2025-04-18,49.11,53.23,72.69
69,1,2025-04-19,57.44,56.23,52.19
70,1,2025-04-20,77.0,60.6,64.62
71,1,2025-04-21,65.81,76.92,56.18
72,1,2025-04-22,73.87,54.64,59.68
73,1,2025-04-23,77.14,43.5,33.8
74,1,2025-04-25,64.22,72.2,61.22
75,1,2025-04-26,67.99,41.05,72.33
76,1,2025-04-27,62.68,70.25,53.87
77,1,2025-04-28,85.37,75.38,68.1
78,1,2025-04-29,75.28,47.06,72.6
79,1,2025-04-30,72.14,72.36,54.64
80,1,2025-05-01,65.43,65.55,43.59
81,1,2025-05-02,68.1,69.23,88.81
82,1,2025-05-03,58.33,71.0,53.8
83,1,2025-05-04,68.22,56.67,63.85
84,1,2025-05-05,59.23,35.77,54.7
85,2,2025-01-20,81.63,84.44,82.52
86,2,2025-01-22,84.65,75.7,95.69
87,2,2025-01-23,82.62,96.24,87.91
88,2,2025-01-24,95.56,78.96,71.56
89,2,2025-01-26,87.38,79.58,89.54
90,2,2025-01-27,89.5,74.43,86.33
91,2,2025-01-30,79.79,79.25,81.23
92,2,2025-02-01,81.35,80.27,72.01
93,2,2025-02-02,89.45,75.63,90.48
94,2,2025-02-03,84.66,77.54,85.1
95,2,2025-02-04,87.66,74.24,78.27
96,2,2025-02-05,83.88,88.58,87.55
97,2,2025-02-06,85.57,80.16,85.79
98,2,2025-02-07,85.77,83.97,87.11
99,2,2025-02-08,83.22,84.55,88.07
100,2,2025-02-09,87.3,86.06,92.6
101,2,2025-02-10,83.55,84.67,92.26
102,2,2025-02-11,84.2,81.74,88.57
103,2,2025-02-13,81.78,80.7,88.29
104,2,2025-02-16,82.99,85.87,89.94
105,2,2025-02-17,81.4,86.83,93.05
106,2,2025-02-19,87.26,79.03,78.22
107,2,2025-02-20,96.05,78.96,82.3
108,2,2025-02-21,88.09,77.39,90.33
109,2,2025-02-22,82.96,65.88,83.19
110,2,2025-02-23,81.36,84.38,81.23
111,2,2025-02-25,81.2,83.74,100.0
112,2,2025-02-26,80.31,89.85,80.68
113,2,2025-02-27,89.61,82.31,83.95
114,2,2025-03-02,98.17,88.78,88.38
115,2,2025-03-03,94.13,87.3,81.92
116,2,2025-03-06,83.65,85.73,87.61
117,2,2025-03-07,81.13,85.68,80.76
118,2,2025-03-09,85.69,67.85,86.99
119,2,2025-03-10,84.0,71.97,72.94
120,2,2025-03-13,86.76,78.96,83.85
121,2,2025-03-14,84.38,85.95,93.93
122,2,2025-03-15,86.98,78.22,82.97
123,2,2025-03-16,86.02,77.52,86.99
124,2,2025-03-18,88.86,95.41,93.22
125,2,2025-03-19,83.91,85.86,84.9
126,2,2025-03-20,83.93,87.4,82.76
127,2,2025-03-21,85.76,76.21,85.57
128,2,2025-03-22,80.73,84.17,85.61
129,2,2025-03-23,85.23,88.34,86.26
130,2,2025-03-25,85.78,78.29,75.53
131,2,2025-03-26,81.99,84.82,92.92
132,2,2025-03-27,90.91,73.42,88.83
133,2,2025-03-28,78.4,76.1,83.36
134,2,2025-03-29,79.36,85.2,81.67
