session_id,user_id,session_start,session_end
1,1,2025-01-09 04:36:00,2025-01-09 04:53:00
2,1,2025-01-10 08:09:00,2025-01-10 08:35:00
3,1,2025-01-15 02:01:00,2025-01-15 02:12:00
4,1,2025-01-21 04:21:00,2025-01-21 04:34:00
5,1,2025-01-26 17:45:00,2025-01-26 18:08:00
6,1,2025-01-26 02:51:00,2025-01-26 02:56:00
7,1,2025-01-31 05:04:00,2025-01-31 05:06:00
8,1,2025-01-31 07:43:00,2025-01-31 08:00:00
9,1,2025-02-08 22:17:00,2025-02-08 22:39:00
10,1,2025-02-08 07:21:00,2025-02-08 07:29:00
11,1,2025-02-13 22:19:00,2025-02-13 22:35:00
12,1,2025-02-13 06:12:00,2025-02-13 06:14:00
13,1,2025-02-19 02:25:00,2025-02-19 02:48:00
14,1,2025-02-19 19:28:00,2025-02-19 19:42:00
15,1,2025-02-20 14:24:00,2025-02-20 14:29:00
16,1,2025-02-26 17:04:00,2025-02-26 17:31:00
17,1,2025-02-26 13:59:00,2025-02-26 14:03:00
18,1,2025-03-09 18:17:00,2025-03-09 18:35:00
19,1,2025-03-09 04:36:00,2025-03-09 04:56:00
20,1,2025-03-10 00:35:00,2025-03-10 00:43:00
21,1,2025-03-11 12:41:00,2025-03-11 12:51:00
22,1,2025-03-11 12:27:00,2025-03-11 12:33:00
23,1,2025-03-20 06:10:00,2025-03-20 06:33:00
24,1,2025-03-20 09:15:00,2025-03-20 09:30:00
25,1,2025-03-24 10:30:00,2025-03-24 10:39:00
26,1,2025-03-24 13:23:00,2025-03-24 13:34:00
27,1,2025-03-30 21:26:00,2025-03-30 21:38:00
28,1,2025-04-02 07:52:00,2025-04-02 08:14:00
29,1,2025-04-12 20:41:00,2025-04-12 20:51:00
30,1,2025-04-12 20:27:00,2025-04-12 20:29:00
31,1,2025-04-14 13:16:00,2025-04-14 13:38:00
32,1,2025-04-14 11:38:00,2025-04-14 11:41:00
33,1,2025-04-16 08:05:00,2025-04-16 08:11:00
