subscription_id,user_id,subscription_start,subscription_end,subscription_status,plan_type
1,2,2025-01-30,2025-03-01,active,monthly
2,2,2025-03-01,2025-03-31,renewed,monthly
3,4,2025-02-24,2025-03-26,active,monthly
4,11,2025-02-23,2025-03-25,active,monthly
5,12,2025-03-21,2025-04-20,active,monthly
6,12,2025-04-20,2025-05-20,renewed,monthly
7,18,2025-03-11,2025-04-10,active,monthly
8,18,2025-04-10,2025-05-10,renewed,monthly
9,19,2025-03-07,2025-04-06,active,monthly
10,26,2025-01-28,2025-02-27,active,monthly
11,26,2025-02-27,2025-03-29,renewed,monthly
12,34,2025-02-17,2025-03-19,active,monthly
13,34,2025-03-19,2025-04-18,renewed,monthly
14,36,2025-02-23,2025-03-25,active,monthly
15,36,2025-03-25,2025-04-24,renewed,monthly
16,42,2025-02-08,2025-03-10,active,monthly
17,42,2025-03-10,2025-04-09,renewed,monthly
18,44,2025-02-14,2025-03-16,active,monthly
19,44,2025-03-16,2025-04-15,renewed,monthly
20,49,2025-02-18,2025-03-20,active,monthly
21,49,2025-03-20,2025-04-19,renewed,monthly
22,51,2025-03-22,2025-04-21,active,monthly
23,51,2025-04-21,2025-05-21,renewed,monthly
24,53,2025-03-14,2025-04-13,active,monthly
25,53,2025-04-13,2025-05-13,renewed,monthly
26,55,2025-03-19,2025-04-18,active,monthly
27,55,2025-04-18,2025-05-18,renewed,monthly
28,58,2025-03-10,2025-04-09,active,monthly
29,58,2025-04-09,2025-05-09,renewed,monthly
30,60,2025-02-01,2025-03-03,active,monthly
31,65,2025-02-12,2025-03-14,active,monthly
32,70,2025-02-22,2025-03-24,active,monthly
33,70,2025-03-24,2025-04-23,renewed,monthly
34,74,2025-01-06,2025-02-05,active,monthly
35,74,2025-02-05,2025-03-07,renewed,monthly
36,81,2025-02-14,2025-03-16,active,monthly
37,89,2025-02-28,2025-03-30,active,monthly
38,89,2025-03-30,2025-04-29,renewed,monthly
39,92,2025-02-23,2025-03-25,active,monthly
40,92,2025-03-25,2025-04-24,renewed,monthly
41,104,2025-03-01,2025-03-31,active,monthly
42,109,2025-03-21,2025-04-20,active,monthly
43,113,2025-02-01,2025-03-03,active,monthly
44,113,2025-03-03,2025-04-02,renewed,monthly
45,116,2025-02-21,2025-03-23,active,monthly
46,116,2025-03-23,2025-04-22,renewed,monthly
47,122,2025-03-02,2025-04-01,active,monthly
48,122,2025-04-01,2025-05-01,renewed,monthly
49,128,2025-03-02,2025-04-01,active,monthly
50,128,2025-04-01,2025-05-01,renewed,monthly
51,132,2025-02-03,2025-03-05,active,monthly
52,132,2025-03-05,2025-04-04,renewed,monthly
53,135,2025-01-29,2025-02-28,active,monthly
54,135,2025-02-28,2025-03-30,renewed,monthly
55,151,2025-03-22,2025-04-21,active,monthly
56,151,2025-04-21,2025-05-21,renewed,monthly
57,155,2025-03-07,2025-04-06,active,monthly
58,155,2025-04-06,2025-05-06,renewed,monthly
59,161,2025-02-02,2025-03-04,active,monthly
60,164,2025-03-18,2025-04-17,active,monthly
61,169,2025-01-11,2025-02-10,active,monthly
62,179,2025-02-03,2025-03-05,active,monthly
63,179,2025-03-05,2025-04-04,renewed,monthly
64,184,2025-02-03,2025-03-05,active,monthly
65,184,2025-03-05,2025-04-04,renewed,monthly
66,187,2025-02-04,2025-03-06,active,monthly
67,187,2025-03-06,2025-04-05,renewed,monthly
68,192,2025-02-28,2025-03-30,active,monthly
69,192,2025-03-30,2025-04-29,renewed,monthly
70,193,2025-02-26,2025-03-28,active,monthly
71,204,2025-01-20,2025-02-19,active,monthly
72,204,2025-02-19,2025-03-21,renewed,monthly
73,205,2025-02-09,2025-03-11,active,monthly
74,205,2025-03-11,2025-04-10,renewed,monthly
75,212,2025-01-19,2025-02-18,active,monthly
76,212,2025-02-18,2025-03-20,renewed,monthly
77,219,2025-03-19,2025-04-18,active,monthly
78,219,2025-04-18,2025-05-18,renewed,monthly
79,224,2025-02-14,2025-03-16,active,monthly
80,227,2025-01-18,2025-02-17,active,monthly
81,227,2025-02-17,2025-03-19,renewed,monthly
82,228,2025-01-31,2025-03-02,active,monthly
83,237,2025-02-05,2025-03-07,active,monthly
84,238,2025-03-12,2025-04-11,active,monthly
85,239,2025-03-14,2025-04-13,active,monthly
86,239,2025-04-13,2025-05-13,renewed,monthly
87,242,2025-02-17,2025-03-19,active,monthly
88,242,2025-03-19,2025-04-18,renewed,monthly
89,246,2025-02-24,2025-03-26,active,monthly
90,246,2025-03-26,2025-04-25,renewed,monthly
91,248,2025-02-14,2025-03-16,active,monthly
92,248,2025-03-16,2025-04-15,renewed,monthly
93,250,2025-03-09,2025-04-08,active,monthly
94,265,2025-02-28,2025-03-30,active,monthly
95,265,2025-03-30,2025-04-29,renewed,monthly
96,275,2025-03-09,2025-04-08,active,monthly
97,275,2025-04-08,2025-05-08,renewed,monthly
98,279,2025-02-01,2025-03-03,active,monthly
99,279,2025-03-03,2025-04-02,renewed,monthly
100,280,2025-03-10,2025-04-09,active,monthly
101,280,2025-04-09,2025-05-09,renewed,monthly
102,281,2025-01-25,2025-02-24,active,monthly
103,281,2025-02-24,2025-03-26,renewed,monthly
104,304,2025-01-22,2025-02-21,active,monthly
105,304,2025-02-21,2025-03-23,renewed,monthly
106,305,2025-02-26,2025-03-28,active,monthly
107,305,2025-03-28,2025-04-27,renewed,monthly
108,309,2025-02-17,2025-03-19,active,monthly
109,309,2025-03-19,2025-04-18,renewed,monthly
110,314,2025-02-23,2025-03-25,active,monthly
111,328,2025-02-26,2025-03-28,active,monthly
112,328,2025-03-28,2025-04-27,renewed,monthly
113,332,2025-02-19,2025-03-21,active,monthly
114,332,2025-03-21,2025-04-20,renewed,monthly
115,347,2025-02-02,2025-03-04,active,monthly
116,347,2025-03-04,2025-04-03,renewed,monthly
117,349,2025-03-13,2025-04-12,active,monthly
118,360,2025-02-21,2025-03-23,active,monthly
119,367,2025-02-03,2025-03-05,active,monthly
120,368,2025-02-15,2025-03-17,active,monthly
121,368,2025-03-17,2025-04-16,renewed,monthly
122,374,2025-02-06,2025-03-08,active,monthly
123,374,2025-03-08,2025-04-07,renewed,monthly
124,383,2025-03-04,2025-04-03,active,monthly
125,383,2025-04-03,2025-05-03,renewed,monthly
126,384,2025-01-26,2025-02-25,active,monthly
127,384,2025-02-25,2025-03-27,renewed,monthly
128,391,2025-02-05,2025-03-07,active,monthly
129,391,2025-03-07,2025-04-06,renewed,monthly
130,392,2025-01-10,2025-02-09,active,monthly
131,392,2025-02-09,2025-03-11,renewed,monthly
132,395,2025-02-12,2025-03-14,active,monthly
133,396,2025-03-06,2025-04-05,active,monthly
134,396,2025-04-05,2025-05-05,renewed,monthly
135,402,2025-01-15,2025-02-14,active,monthly
136,403,2025-02-02,2025-03-04,active,monthly
137,403,2025-03-04,2025-04-03,renewed,monthly
138,409,2025-02-10,2025-03-12,active,monthly
139,409,2025-03-12,2025-04-11,renewed,monthly
140,411,2025-01-13,2025-02-12,active,monthly
141,411,2025-02-12,2025-03-14,renewed,monthly
142,412,2025-01-23,2025-02-22,active,monthly
143,412,2025-02-22,2025-03-24,renewed,monthly
144,413,2025-01-23,2025-02-22,active,monthly
145,413,2025-02-22,2025-03-24,renewed,monthly
146,414,2025-02-23,2025-03-25,active,monthly
147,414,2025-03-25,2025-04-24,renewed,monthly
148,418,2025-01-09,2025-02-08,active,monthly
149,426,2025-02-03,2025-03-05,active,monthly
150,432,2025-02-10,2025-03-12,active,monthly
151,432,2025-03-12,2025-04-11,renewed,monthly
152,442,2025-02-11,2025-03-13,active,monthly
153,442,2025-03-13,2025-04-12,renewed,monthly
154,446,2025-02-07,2025-03-09,active,monthly
155,446,2025-03-09,2025-04-08,renewed,monthly
156,462,2025-03-18,2025-04-17,active,monthly
157,464,2025-02-02,2025-03-04,active,monthly
158,464,2025-03-04,2025-04-03,renewed,monthly
159,465,2025-02-17,2025-03-19,active,monthly
160,465,2025-03-19,2025-04-18,renewed,monthly
161,468,2025-02-28,2025-03-30,active,monthly
162,468,2025-03-30,2025-04-29,renewed,monthly
163,475,2025-02-19,2025-03-21,active,monthly
164,475,2025-03-21,2025-04-20,renewed,monthly
165,479,2025-02-15,2025-03-17,active,monthly
