user_id,registration_date,user_type,country,platform,device_type
1,2025-01-06,casual,Finland,Android,Ring_v2
2,2025-01-17,power,Finland,Android,Ring_pro
3,2025-01-27,regular,UK,iOS,Ring_v2
4,2025-01-22,regular,Finland,Android,Ring_v1
5,2025-01-25,casual,Finland,iOS,Ring_v1
6,2025-01-20,casual,Germany,Android,Ring_v1
7,2025-01-21,casual,Finland,Android,Ring_v1
8,2025-01-26,power,Germany,iOS,Ring_v2
9,2025-01-08,regular,Finland,Android,Ring_v2
10,2025-01-15,regular,Finland,iOS,Ring_v1
11,2025-01-07,casual,Finland,iOS,Ring_v1
12,2025-01-30,power,Finland,iOS,Ring_v1
13,2025-01-29,regular,UK,iOS,Ring_v2
14,2025-01-02,casual,Finland,iOS,Ring_v1
15,2025-01-22,casual,Sweden,Android,Ring_v2
16,2025-01-28,casual,Finland,iOS,Ring_v1
17,2025-01-06,casual,Finland,Android,Ring_pro
18,2025-01-18,regular,UK,iOS,Ring_pro
19,2025-01-28,casual,Finland,iOS,Ring_v1
20,2025-01-02,casual,Sweden,Android,Ring_v1
21,2025-01-21,regular,UK,iOS,Ring_v2
22,2025-01-09,casual,Sweden,iOS,Ring_v1
23,2025-01-28,casual,UK,Android,Ring_v2
24,2025-01-30,casual,Finland,iOS,Ring_pro
25,2025-01-29,casual,Finland,iOS,Ring_v2
26,2025-01-15,regular,Finland,iOS,Ring_pro
27,2025-01-26,casual,Germany,Android,Ring_v1
28,2025-01-26,regular,UK,Android,Ring_v1
29,2025-01-10,regular,Finland,Android,Ring_v2
30,2025-01-25,casual,Sweden,Android,Ring_v1
31,2025-01-02,regular,Finland,iOS,Ring_v2
32,2025-01-18,casual,Sweden,iOS,Ring_v1
33,2025-01-07,casual,Finland,Android,Ring_v1
34,2025-01-04,power,UK,iOS,Ring_pro
35,2025-01-03,power,Sweden,iOS,Ring_v1
36,2025-01-21,regular,Finland,iOS,Ring_pro
37,2025-01-11,casual,Finland,iOS,Ring_pro
38,2025-01-22,casual,Finland,Android,Ring_v2
39,2025-01-02,regular,Finland,iOS,Ring_v2
40,2025-01-10,casual,Finland,iOS,Ring_v2
41,2025-01-17,casual,UK,iOS,Ring_pro
42,2025-01-24,casual,Sweden,Android,Ring_v1
43,2025-01-10,casual,Sweden,iOS,Ring_v2
44,2025-01-19,power,Finland,iOS,Ring_v2
45,2025-01-27,casual,UK,Android,Ring_v2
46,2025-01-19,regular,Germany,Android,Ring_v2
47,2025-01-07,casual,Finland,iOS,Ring_v1
48,2025-01-01,regular,Germany,iOS,Ring_v2
49,2025-01-27,regular,Sweden,iOS,Ring_pro
50,2025-01-01,casual,Finland,iOS,Ring_v1
51,2025-01-27,power,Finland,iOS,Ring_pro
52,2025-01-16,regular,Finland,iOS,Ring_v2
53,2025-01-29,power,Finland,iOS,Ring_pro
54,2025-01-24,power,UK,iOS,Ring_v2
55,2025-01-30,regular,Germany,Android,Ring_v2
56,2025-01-11,power,Sweden,Android,Ring_v1
57,2025-01-24,casual,Finland,Android,Ring_pro
58,2025-01-13,casual,Finland,iOS,Ring_v1
59,2025-01-15,casual,Sweden,iOS,Ring_pro
60,2025-01-19,casual,Sweden,Android,Ring_pro
61,2025-01-27,casual,Finland,iOS,Ring_v1
62,2025-01-30,casual,Sweden,iOS,Ring_v1
63,2025-01-24,regular,Germany,iOS,Ring_v2
64,2025-01-13,casual,Finland,Android,Ring_v1
65,2025-01-13,casual,Finland,Android,Ring_pro
66,2025-01-23,regular,Germany,iOS,Ring_v1
67,2025-01-08,casual,Finland,iOS,Ring_v1
68,2025-01-04,regular,Finland,Android,Ring_pro
69,2025-01-11,casual,Finland,iOS,Ring_v2
70,2025-01-09,power,Finland,Android,Ring_pro
71,2025-01-09,regular,Germany,Android,Ring_v1
72,2025-01-08,casual,Sweden,Android,Ring_v2
73,2025-01-02,casual,Finland,iOS,Ring_v2
74,2025-01-01,regular,UK,iOS,Ring_v2
75,2025-01-30,regular,UK,iOS,Ring_v2
76,2025-01-13,regular,UK,Android,Ring_v2
77,2025-01-12,regular,Finland,Android,Ring_v2
78,2025-01-21,casual,Finland,iOS,Ring_v1
79,2025-01-07,casual,UK,iOS,Ring_v2
80,2025-01-29,casual,Germany,Android,Ring_v1
81,2025-01-24,power,Finland,Android,Ring_v2
82,2025-01-03,regular,Finland,Android,Ring_v1
83,2025-01-13,casual,Finland,iOS,Ring_v2
84,2025-01-27,casual,UK,iOS,Ring_v2
85,2025-01-29,casual,Sweden,Android,Ring_v1
86,2025-01-15,casual,Finland,Android,Ring_v1
87,2025-01-19,regular,Finland,iOS,Ring_v1
88,2025-01-06,regular,Sweden,iOS,Ring_v2
89,2025-01-30,power,Germany,iOS,Ring_pro
90,2025-01-07,casual,Finland,iOS,Ring_v1
91,2025-01-29,casual,Germany,iOS,Ring_v2
92,2025-01-20,regular,UK,Android,Ring_v1
93,2025-01-19,regular,Finland,iOS,Ring_v2
94,2025-01-16,regular,Sweden,Android,Ring_pro
95,2025-01-07,regular,Finland,iOS,Ring_v1
96,2025-01-06,casual,Germany,Android,Ring_v2
97,2025-01-07,regular,Sweden,Android,Ring_v1
98,2025-01-06,casual,Sweden,iOS,Ring_v1
99,2025-01-24,casual,Germany,iOS,Ring_v1
100,2025-01-11,casual,Finland,iOS,Ring_v1
101,2025-01-02,casual,UK,iOS,Ring_v2
102,2025-01-30,regular,Sweden,Android,Ring_v2
103,2025-01-27,casual,Finland,Android,Ring_v2
104,2025-01-28,regular,Sweden,iOS,Ring_v1
105,2025-01-30,power,Germany,iOS,Ring_v1
106,2025-01-06,casual,Finland,iOS,Ring_v2
107,2025-01-12,casual,UK,Android,Ring_pro
108,2025-01-23,regular,UK,iOS,Ring_v1
109,2025-01-21,casual,Finland,iOS,Ring_pro
110,2025-01-05,casual,UK,Android,Ring_v2
111,2025-01-25,casual,Finland,Android,Ring_v2
112,2025-01-07,casual,Finland,iOS,Ring_v2
113,2025-01-07,power,Finland,Android,Ring_v1
114,2025-01-17,regular,UK,iOS,Ring_v1
115,2025-01-18,regular,Sweden,iOS,Ring_v2
116,2025-01-18,power,Finland,Android,Ring_v1
117,2025-01-03,regular,Finland,Android,Ring_pro
118,2025-01-27,casual,Sweden,iOS,Ring_v2
119,2025-01-08,power,Finland,iOS,Ring_v1
